quarter_end,year,quarter,offence,open_1yr_plus,share_of_quarter
2019-06-30,2019,Q2,Criminal damage and arson,25.0,0.011140819964349376
2019-06-30,2019,Q2,Summary motoring,24.0,0.0106951871657754
2019-09-30,2019,Q3,Violence against the person,422.0,0.18411867364746945
2019-09-30,2019,Q3,Miscellaneous crimes against society,398.0,0.1736474694589878
2019-09-30,2019,Q3,Drug offences,333.0,0.14528795811518325
2019-09-30,2019,Q3,Not known,239.0,0.10427574171029669
2019-09-30,2019,Q3,Sexual offences,215.0,0.09380453752181502
2019-09-30,2019,Q3,Fraud offences,203.0,0.08856893542757417
2019-09-30,2019,Q3,Theft offences,135.0,0.058900523560209424
2019-09-30,2019,Q3,Possession of weapons,106.0,0.0462478184991274
2019-09-30,2019,Q3,Robbery,75.0,0.032722513089005235
2019-09-30,2019,Q3,Public order offences,64.0,0.027923211169284468
2019-09-30,2019,Q3,Summary non-motoring,47.0,0.02050610820244328
2019-09-30,2019,Q3,Criminal damage and arson,30.0,0.013089005235602094
2019-09-30,2019,Q3,Summary motoring,25.0,0.010907504363001745
2019-12-31,2019,Q4,Violence against the person,465.0,0.19431675720852487
2019-12-31,2019,Q4,Miscellaneous crimes against society,383.0,0.16005014625992478
2019-12-31,2019,Q4,Drug offences,341.0,0.14249895528625156
2019-12-31,2019,Q4,Not known,238.0,0.09945674885081487
2019-12-31,2019,Q4,Fraud offences,211.0,0.08817384036773925
2019-12-31,2019,Q4,Sexual offences,211.0,0.08817384036773925
2019-12-31,2019,Q4,Theft offences,178.0,0.07438361888842457
2019-12-31,2019,Q4,Possession of weapons,102.0,0.04262432093606352
2019-12-31,2019,Q4,Robbery,89.0,0.037191809444212284
2019-12-31,2019,Q4,Public order offences,70.0,0.029251984956122024
2019-12-31,2019,Q4,Summary non-motoring,43.0,0.017969076473046384
2019-12-31,2019,Q4,Criminal damage and arson,38.0,0.015879648976180525
2019-12-31,2019,Q4,Summary motoring,24.0,0.010029251984956121
2020-03-31,2020,Q1,Violence against the person,598.0,0.1974900924702774
2020-03-31,2020,Q1,Drug offences,481.0,0.15885072655217966
2020-03-31,2020,Q1,Miscellaneous crimes against society,467.0,0.15422721268163805
2020-03-31,2020,Q1,Sexual offences,267.0,0.0881770145310436
2020-03-31,2020,Q1,Not known,262.0,0.08652575957727873
2020-03-31,2020,Q1,Theft offences,235.0,0.07760898282694847
2020-03-31,2020,Q1,Fraud offences,210.0,0.06935270805812417
2020-03-31,2020,Q1,Possession of weapons,157.0,0.05184940554821665
2020-03-31,2020,Q1,Robbery,107.0,0.03533685601056803
2020-03-31,2020,Q1,Public order offences,99.0,0.03269484808454425
2020-03-31,2020,Q1,Summary non-motoring,63.0,0.02080581241743725
2020-03-31,2020,Q1,Criminal damage and arson,45.0,0.014861294583883751
2020-03-31,2020,Q1,Summary motoring,36.0,0.011889035667107
2020-03-31,2020,Q1,Other,1.0,0.00033025099075297226
2020-06-30,2020,Q2,Violence against the person,1090.0,0.2243721696171264
2020-06-30,2020,Q2,Drug offences,797.0,0.16405928365582545
2020-06-30,2020,Q2,Miscellaneous crimes against society,746.0,0.15356113627006998
2020-06-30,2020,Q2,Sexual offences,461.0,0.09489501852614245
2020-06-30,2020,Q2,Theft offences,367.0,0.07554549197200494
2020-06-30,2020,Q2,Fraud offences,298.0,0.061342116097159324
2020-06-30,2020,Q2,Not known,290.0,0.05969534787978592
2020-06-30,2020,Q2,Possession of weapons,274.0,0.05640181144503911
2020-06-30,2020,Q2,Robbery,189.0,0.03890489913544669
2020-06-30,2020,Q2,Public order offences,147.0,0.03025936599423631
2020-06-30,2020,Q2,Summary non-motoring,74.0,0.015232606010703994
2020-06-30,2020,Q2,Criminal damage and arson,70.0,0.01440922190201729
2020-06-30,2020,Q2,Summary motoring,53.0,0.010909839440098806
