quarter_end,year,quarter,age_band,age_order,count
2023-06-30,2023,Q2,Under 4 weeks,1.0,8239.0
2023-06-30,2023,Q2,4 to 8 weeks,2.0,6189.0
2023-06-30,2023,Q2,8 to 12 weeks,3.0,5361.0
2023-06-30,2023,Q2,12 to 16 weeks,4.0,4409.0
2023-06-30,2023,Q2,16 to 20 weeks,5.0,3891.0
2023-06-30,2023,Q2,20 to 26 weeks,6.0,4583.0
2023-06-30,2023,Q2,6 months to under 1 year,7.0,12251.0
2023-06-30,2023,Q2,1 to 2 years,8.0,10212.0
2023-06-30,2023,Q2,2 years or more,9.0,6317.0
2023-09-30,2023,Q3,Under 4 weeks,1.0,8034.0
2023-09-30,2023,Q3,4 to 8 weeks,2.0,6585.0
2023-09-30,2023,Q3,8 to 12 weeks,3.0,5637.0
2023-09-30,2023,Q3,12 to 16 weeks,4.0,4761.0
2023-09-30,2023,Q3,16 to 20 weeks,5.0,4086.0
2023-09-30,2023,Q3,20 to 26 weeks,6.0,5102.0
2023-09-30,2023,Q3,6 months to under 1 year,7.0,12568.0
2023-09-30,2023,Q3,1 to 2 years,8.0,10124.0
2023-09-30,2023,Q3,2 years or more,9.0,6186.0
2023-12-31,2023,Q4,Under 4 weeks,1.0,7131.0
2023-12-31,2023,Q4,4 to 8 weeks,2.0,7022.0
2023-12-31,2023,Q4,8 to 12 weeks,3.0,5609.0
2023-12-31,2023,Q4,12 to 16 weeks,4.0,4915.0
2023-12-31,2023,Q4,16 to 20 weeks,5.0,4129.0
2023-12-31,2023,Q4,20 to 26 weeks,6.0,5402.0
2023-12-31,2023,Q4,6 months to under 1 year,7.0,13403.0
2023-12-31,2023,Q4,1 to 2 years,8.0,10198.0
2023-12-31,2023,Q4,2 years or more,9.0,5928.0
2024-03-31,2024,Q1,Under 4 weeks,1.0,8737.0
2024-03-31,2024,Q1,4 to 8 weeks,2.0,6953.0
2024-03-31,2024,Q1,8 to 12 weeks,3.0,5983.0
2024-03-31,2024,Q1,12 to 16 weeks,4.0,4123.0
2024-03-31,2024,Q1,16 to 20 weeks,5.0,4396.0
2024-03-31,2024,Q1,20 to 26 weeks,6.0,5360.0
2024-03-31,2024,Q1,6 months to under 1 year,7.0,13693.0
2024-03-31,2024,Q1,1 to 2 years,8.0,10122.0
2024-03-31,2024,Q1,2 years or more,9.0,6012.0
2024-06-30,2024,Q2,Under 4 weeks,1.0,9027.0
2024-06-30,2024,Q2,4 to 8 weeks,2.0,6987.0
2024-06-30,2024,Q2,8 to 12 weeks,3.0,6266.0
2024-06-30,2024,Q2,12 to 16 weeks,4.0,4991.0
2024-06-30,2024,Q2,16 to 20 weeks,5.0,4365.0
2024-06-30,2024,Q2,20 to 26 weeks,6.0,5742.0
2024-06-30,2024,Q2,6 months to under 1 year,7.0,13584.0
2024-06-30,2024,Q2,1 to 2 years,8.0,10379.0
2024-06-30,2024,Q2,2 years or more,9.0,5932.0
2024-09-30,2024,Q3,Under 4 weeks,1.0,8863.0
2024-09-30,2024,Q3,4 to 8 weeks,2.0,7258.0
2024-09-30,2024,Q3,8 to 12 weeks,3.0,6298.0
2024-09-30,2024,Q3,12 to 16 weeks,4.0,5369.0
2024-09-30,2024,Q3,16 to 20 weeks,5.0,4564.0
2024-09-30,2024,Q3,20 to 26 weeks,6.0,6023.0
2024-09-30,2024,Q3,6 months to under 1 year,7.0,14541.0
2024-09-30,2024,Q3,1 to 2 years,8.0,10609.0
2024-09-30,2024,Q3,2 years or more,9.0,5540.0
2024-12-31,2024,Q4,Under 4 weeks,1.0,7301.0
2024-12-31,2024,Q4,4 to 8 weeks,2.0,7547.0
2024-12-31,2024,Q4,8 to 12 weeks,3.0,6439.0
2024-12-31,2024,Q4,12 to 16 weeks,4.0,5342.0
2024-12-31,2024,Q4,16 to 20 weeks,5.0,4769.0
2024-12-31,2024,Q4,20 to 26 weeks,6.0,6178.0
2024-12-31,2024,Q4,6 months to under 1 year,7.0,16063.0
2024-12-31,2024,Q4,1 to 2 years,8.0,11078.0
2024-12-31,2024,Q4,2 years or more,9.0,5506.0
2025-03-31,2025,Q1,Under 4 weeks,1.0,9135.0
2025-03-31,2025,Q1,4 to 8 weeks,2.0,7335.0
2025-03-31,2025,Q1,8 to 12 weeks,3.0,6234.0
2025-03-31,2025,Q1,12 to 16 weeks,4.0,4306.0
2025-03-31,2025,Q1,16 to 20 weeks,5.0,4824.0
2025-03-31,2025,Q1,20 to 26 weeks,6.0,6154.0
2025-03-31,2025,Q1,6 months to under 1 year,7.0,16607.0
2025-03-31,2025,Q1,1 to 2 years,8.0,12244.0
2025-03-31,2025,Q1,2 years or more,9.0,5600.0
2025-06-30,2025,Q2,Under 4 weeks,1.0,9171.0
2025-06-30,2025,Q2,4 to 8 weeks,2.0,7124.0
2025-06-30,2025,Q2,8 to 12 weeks,3.0,6109.0
2025-06-30,2025,Q2,12 to 16 weeks,4.0,5706.0
2025-06-30,2025,Q2,16 to 20 weeks,5.0,4762.0
2025-06-30,2025,Q2,20 to 26 weeks,6.0,5786.0
